Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
35-45,she/hers,White,Yes,Yes,No,No,10-15 years,2-5 years,No one,,,,,,,,No,,,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly disagree,N/A,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office,Other","Once I began working,Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations","When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations","When my illness/disability impacted my work,When requesting accommodations",,,"When my illness/disability impacted my work,When requesting accommodations",,No,,,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree        ,Agree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Disagree        ,Strongly agree        ,Agree        ,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
55 or older,he/his,White,No,No,Yes,Yes,20+ years,20+ years,"Colleagues I work with regularly,I am open about my illness/disability with everyone",,When my illness/disability impacted my work,,,,,When my illness/disability impacted my work,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,N/A,N/A,N/A,N/A,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
25 or younger,she/hers,White,No,,Yes,Yes,Less than 5 years,Less than 2 years,No one,,,,,,,,No,,,Strongly agree,Agree,Strongly disagree,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,N/A,N/A,N/A,N/A,N/A,Disagree        ,Agree        ,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A,Agree,Agree,N/A,N/A,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,Disagree,Strongly agree,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,No,No,15-20 years,10-15 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,White,Yes,Yes,No,No,5-10 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ,I am open about my illness/disability with everyone","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,As I built a personal relationship with colleagues,Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,she/hers,White,Yes,Yes,No,No,10-15 years,5-10 years,I am open about my illness/disability with everyone,,,,,,,"When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations",Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Agree,Disagree,Agree,Agree,N/A,Agree,N/A,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,N/A,Strongly agree,Agree,Agree,N/A,N/A,N/A,Disagree,Disagree,Disagree,Disagree
25 or younger,she/hers,White,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Agree        ,Agree        ,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,No,No,15-20 years,Less than 2 years,I am open about my illness/disability with everyone,,,,,,,Once I began working,Unsure,,,N/A,N/A,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,,,,,,,,,,
25-35,she/hers,White,Yes,Yes,No,No,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,,,No,,,N/A,N/A,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,N/A,N/A,N/A,N/A,Strongly disagree,Strongly disagree,N/A,N/A,N/A,N/A
35-45,she/hers,White,No,,Yes,Yes,5-10 years,2-5 years,Colleagues I work with regularly,,When my illness/disability impacted my work,,,,,,No,,,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree      ,Agree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree,Disagree,,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,Yes,Yes,20+ years,10-15 years,"Colleagues I consider close friends,Colleagues I work with regularly,Other",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,,,,No,,,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree        ,Agree        ,Agree        ,Disagree        ,Neither agree nor disagree      ,Agree        ,Disagree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree
25-35,she/hers,White,Yes,Yes,No,No,Less than 5 years,2-5 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Other",,"Once I began working,Other",Once I began working,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,N/A,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,,Strongly disagree,Neither agree nor disagree,Agree,N/A,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,No,No,5-10 years,2-5 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,,When my illness/disability impacted my work,,,,,No,,,N/A,N/A,Disagree,Strongly disagree,Strongly disagree,N/A,Strongly disagree,Disagree        ,Strongly agree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,10-15 years,Less than 2 years,I am open about my illness/disability with everyone,,,,,,,Once I began working,Yes,Yes,"Job duties (shifting from in-person to online instruction, front end to back end duties, etc).,Work schedule (change in hours, work from home, etc)",Agree,Disagree,Strongly agree,Disagree,Agree,Agree,N/A,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,N/A,N/A,N/A,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,White,Yes,Yes,No,No,15-20 years,10-15 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Library director ,Human Resources/disability office,Other",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,Once I began working,,When my illness/disability impacted my work,When my illness/disability impacted my work,,Yes,No,"Work schedule (change in hours, work from home, etc)",Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree        ,Agree        ,Agree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
